TreeName,Group,Ploidy
Azallanii_AN45,NZ1,4x
Azallanii_HikA1,NZ1,4x
Azallanii_HikA5,NZ1,4x
Azallanii_HikA9,NZ1,4x
Azallanii_HikB1,NZ1,4x
Azallanii_HikB10,NZ1,4x
Azallanii_HikB5,NZ1,4x
Azallanii_Mau1,NZ1,4x
Azallanii_Mau10,NZ1,4x
Azallanii_Rau1,NZ1,4x
Azallanii_Rau10,NZ1,4x
Azallanii_Rau5,NZ1,4x
Azburkartii_NYBG2434,SA,2x
Azburkartii_NYBG714,SA,2x
Azcockaynei_Man1,NZ1,6x
Azcockaynei_Man10,NZ1,6x
Azcockaynei_Man5,NZ1,6x
Azcolensoi_BellA1,NZ1,10x
Azcolensoi_BellA10,NZ1,10x
Azcolensoi_BellA5,NZ1,10x
Azcolensoi_MauA1,NZ1,10x
Azcolensoi_MauA5,NZ1,10x
Azcolensoi_MauA9,NZ1,10x
Azcolensoi_MauB1,NZ1,10x
Azcolensoi_MauB10,NZ1,10x
Azcolensoi_MauB5,NZ1,10x
Azcyanopetala_AN52,NZ2,4x
Azcyanopetala_Bro3,NZ2,4x
Azcyanopetala_Bro5,NZ2,4x
Azcyanopetala_CHR529029,NZ2,4x
Azcyanopetala_Ire1,NZ2,4x
Azcyanopetala_Ire3,NZ2,4x
Azcyanopetala_Ire6,NZ2,4x
Azcyanopetala_Lux1,NZ2,4x
Azcyanopetala_Lux5,NZ2,4x
Azcyanopetala_Lux9,NZ2,4x
Azcyanopetala_Tak1,NZ2,4x
Azcyanopetala_Tak10,NZ2,4x
Azcyanopetala_Tak5,NZ2,4x
Azcyanopetala_TeA10,NZ2,4x
Azcyanopetala_TeA2,NZ2,4x
Azcyanopetala_TeA5,NZ2,4x
Azexigua_AN64,NZ2,4x
Azexigua_Dun1,NZ2,4x
Azexigua_Dun2,NZ2,4x
Azexigua_Wet1,NZ2,4x
Azexigua_Wet3,NZ2,4x
Azexigua_Wet4,NZ2,4x
Azexigua_Wet5,NZ2,4x
Azfragosea_CANB797854,AUZ,?x
Azfragosea_CANB797887,AUZ,?x
Azfragosea_EI23518,AUZ,?x
Azhaastii_AN63,NZ2,4x
Azhaastii_Bri1,NZ2,4x
Azhaastii_Bri10,NZ2,4x
Azhaastii_Bri6,NZ2,4x
Azhaastii_Eri1,NZ2,4x
Azhaastii_Eyr1,NZ2,4x
Azhaastii_Eyr10,NZ2,4x
Azhaastii_Eyr5,NZ2,4x
Azhaastii_Fit1,NZ2,4x
Azhaastii_Pat1,NZ2,4x
Azhaastii_Pat10A,NZ2,4x
Azhaastii_Pat5,NZ2,4x
Azhaastii_Tak10,NZ2,4x
Azhaastii_Tak1A,NZ2,4x
Azhaastii_Tak5,NZ2,4x
Azhaastii_Tow10,NZ2,4x
Azhookeri_AN68,NZ1,6x
Azhookeri_Cas,NZ1,6x
Azhookeri_Tai,NZ1,6x
Azhydrocotyloides_Dob4,NZ2,4x
Azhydrocotyloides_Dob5,NZ2,4x
Azhydrocotyloides_Dob6,NZ2,4x
Azhydrocotyloides_Dun10,NZ2,4x
Azhydrocotyloides_Dun6,NZ2,4x
Azhydrocotyloides_GP2530,NZ2,4x
Azhydrocotyloides_Port1,NZ2,4x
Azlyallii_CHR542359,SUB,?x
Azlycopodioides_NYBG2433,SA,2x
Aznitens_AN49,NZ1,6x
Aznitens_Kah,NZ1,6x
Aznitens_Wai1,NZ1,6x
Aznitens_Wai3,NZ1,6x
Aznitens_Wai4,NZ1,6x
Azpallida_AN47,NZ2,4x
Azpallida_Bro1,NZ2,4x
Azpallida_Bro4,NZ2,4x
Azpallida_Bro5,NZ2,4x
Azpallida_Cra1,NZ2,4x
Azpallida_Cra4,NZ2,4x
Azpallida_Cra5,NZ2,4x
Azpallida_NYBG2533,NZ2,4x
Azpolaris_Camp2,SUB,6x
Azpolaris_End2,SUB,6x
Azranunculus_NYBG2447,SA,2x
Azroughii_AN67,NZ1,4x
Azroughii_CHR617267,NZ1,4x
Azroughii_Sta1,NZ1,4x
Azroughii_Sta3,NZ1,4x
Azroughii_Sta5,NZ1,4x
Azschizeilema_Ome,SUB,4x
Azsp_AN58,NZ2,?x
Azsp_CHR617214,NZ2,?x
Azsp_CHR617283,NZ2,?x
