Aallanii45,Azallanii_AN45
Acyanopetalum52,Azcyanopetala_AN52
Aexigua64,Azexigua_AN64
Afragosea,Azfragosea_EI23518
Ahaastii63,Azhaastii_AN63
Ahookeri68,Azhookeri_AN68
Ahydroc530,Azhydrocotyloides_GP2530
Anitens49,Aznitens_AN49
Apallida47,Azpallida_AN47
Aranunculus447,Azranunculus_NYBG2447
Aroughii67,Azroughii_AN67
Asp58,Azsp_AN58
S001_Azfra,Azfragosea_CANB797887
S002_Azal,Azallanii_HikB10
S003_Azhy,Azhydrocotyloides_Dob5
S004_Azun,Azsp_CHR617283
S005_Azal,Azallanii_Mau1
S006_Azal,Azallanii_HikB1
S007_Aznit,Aznitens_Wai1
S008_Azha,Azhaastii_Eyr5
S009_Azpa,Azpallida_Cra5
S010_Azcol,Azcolensoi_MauB10
S011_Azpa,Azpallida_Bro1
S012_Azsp,Azsp_CHR617214
S013_Azcol,Azcolensoi_MauA9
S014_Azhy,Azhydrocotyloides_Dob6
S015_Azho,Azhookeri_Tai
S016_Azpa,Azpallida_Cra1
S017_Azcol,Azcolensoi_MauB5
S018_Azal,Azallanii_HikA9
S019_Azha,Azcyanopetala_Ire3
S020_Azpa,Azpallida_NYBG2533
S021_Azex,Azexigua_Wet4
S022_Azha,Azhaastii_Eyr10
S023_Azho,Azhookeri_Cas
S024_Azpa,Azpallida_Bro5
S025_Azcya,Azcyanopetala_Bro5
S026_Aznit,Aznitens_Wai4
S027_Azha,Azhaastii_Bri1
S028_Azhy,Azhydrocotyloides_Dun6
S029_Azpa,Azpallida_Bro4
S030_Azal,Azallanii_HikA1
S031_Azfra,Azfragosea_CANB797854
S032_Azcoc,Azcockaynei_Man1
S033_Azro,Azroughii_CHR617267
S034_Azha,Azhaastii_Tak5
S035_Azal,Azallanii_HikB5
S036_Azhy,Azhydrocotyloides_Dun10
S037_Azcol,Azcolensoi_MauA5
S038_Azcy,Azcyanopetala_CHR529029
S039_Azcya,Azcyanopetala_Bro3
S040_Azex,Azexigua_Wet1
S041_Azal,Azallanii_Rau5
S042_Azal,Azallanii_Rau10
S043_Azcol,Azcolensoi_BellA5
S044_Azly,Azlyallii_CHR542359
S045_Azcy,Azcyanopetala_Tak5
S046_Azex,Azexigua_Dun1
S047_Azcol,Azcolensoi_BellA10
S048_Azha,Azhaastii_Pat5
S049_Azhy,Azhydrocotyloides_Dob4
S050_Azal,Azallanii_Rau1
S051_Azhy,Azhydrocotyloides_Port1
S052_Azbu,Azburkartii_NYBG2434
S053_Azcol,Azcolensoi_MauB1
S054_Azcy,Azcyanopetala_Tak1
S055_Azlyc,Azlycopodioides_NYBG2433
S056_Azbu,Azburkartii_NYBG714
S057_Azha,Azhaastii_Tow10
S058_Azha,Azhaastii_Bri6
S059_Azha,Azcyanopetala_TeA5
S060_Azcoc,Azcockaynei_Man10
S061_Azcya,Azcyanopetala_Lux1
S062_Azcy,Azcyanopetala_Tak10
S063_Azha,Azcyanopetala_Ire6
S064_Azha,Azhaastii_Tak10
S065_Azcol,Azcolensoi_MauA1
S066_Azal,Azallanii_HikA5
S067_Azcya,Azcyanopetala_Lux5
S068_Azha,Azhaastii_Fit1
S069_Azha,Azhaastii_Pat10A
S070_Azha,Azhaastii_Eri1
S071_Azpol,Azpolaris_Camp2
S072_Azha,Azhaastii_Tak1A
S073_Azha,Azcyanopetala_Ire1
S074_Azal,Azallanii_Mau10
S075_Azcoc,Azcockaynei_Man5
S076_Azha,Azhaastii_Eyr1
S077_Azcol,Azcolensoi_BellA1
S078_Azex,Azexigua_Wet5
S079_Aznit,Aznitens_Kah
S080_Azro,Azroughii_Sta3
S081_Azha,Azhaastii_Bri10
S082_Azha,Azcyanopetala_TeA10
S083_Aznit,Aznitens_Wai3
S084_Azex,Azexigua_Dun2
S085_Azcya,Azcyanopetala_Lux9
S086_Azpol,Azpolaris_End2
S087_Azha,Azcyanopetala_TeA2
S088_Azro,Azroughii_Sta1HS
S089_Azha,Azhaastii_Pat1
S090_Azex,Azexigua_Wet3
S091_Azro,Azroughii_Sta5
S092_Azpa,Azpallida_Cra4
WX8,Azschizeilema_Ome
